winner,loser,year,weight
aspinall,blaydes,2024,hw
aspinall,pavlovich,2023,hw
jones,gane,2023,hw
ngannou,gane,2021,hw
ngannou,miocic,2021,hw
miocic,cormier,2020,hw
miocic,cormier,2019,hw
cormier,lewis,2018,hw
cormier,miocic,2018,hw
miocic,ngannou,2018,hw
miocic,dos santos,2017,hw
miocic,overeem,2016,hw
miocic,werdum,2016,hw
werdum,velasquez,2015,hw
werdum ,hunt,2014,hw
velasquez,dos santos,2013,hw
velasquez,silva,2012,hw
dos santos,mir,2012,hw
dos santos,velasquez,2011,hw
velasquez,lesnar,2010,hw
lesnar,carwin,2010,hw
lesnar,mir,2009,hw
lesnar,couture,2007,hw
couture,gonzaga,2007,hw
couture,sylvia,2006,hw
sylvia ,monson,2006,hw
sylvia ,arlovski,2006,hw
arlovski,buentello,2005,hw
arlovski,ellers,2005,hw
arlovski,sylvia,2005,hw
mir,sylvia,2004,hw
sylvia ,mcgree,2003,hw
sylvia ,rodriguez,2003,hw
rodriguez,couture,2002,hw
barnett,couture,2002,hw
couture,rizzo,2001,hw
couture ,rizzo,2001,hw
couture,randleman,2000,hw
randleman,rizzo,2000,hw
randleman,williams,1999,hw
rutten,randleman,1999,hw
couture,smith,1997,hw
smith,abbott,1997,hw
smith,coleman,1997,hw
coleman,severn,1997,hw
ankalaev,pereira,2025,lhw
pereira,rountree,2024,lhw
pereira,prochazka,2024,lhw
pereira,hill,2024,lhw
pereira,prochazka,2023,lhw
hill,teixeira,2023,lhw
prochazka,teixeira,2022,lhw
teixeira,blachowicz,2021,lhw
blachowicz,reyes,2021,lhw
blachowicz,adesanya,2020,lhw
jones,reyes,2020,lhw
jones,santos,2019,lhw
jones,smith,2019,lhw
jones,gustafsson,2018,lhw
cormier,oezdemir,2018,lhw
jones,cormier,2017,lhw
cormier,johnson,2017,lhw
jones,saint-preux,2016,lhw
cormier,gustafsson,2015,lhw
cormier,johnson,2015,lhw
jones,cormier,2015,lhw
jones,teixeira,2014,lhw
jones,gustafsson,2013,lhw
jones,sonnen,2013,lhw
jones,belfort,2012,lhw
jones,evans,2012,lhw
jones,machida,2011,lhw
jones,jackson,2011,lhw
jones,rua,2011,lhw
rua,machida,2010,lhw
machida,rua,2009,lhw
machida,evans,2009,lhw
evans,griffin,2008,lhw
griffin,jackson,2008,lhw
jackson,henderson,2007,lhw
jackson,liddell,2007,lhw
liddell,ortiz,2006,lhw
liddell,sobral,2006,lhw
liddell,couture,2006,lhw
liddell,horn,2005,lhw
liddell,couture,2005,lhw
couture,belfort,2004,lhw
belfort,couture,2004,lhw
couture,ortiz,2003,lhw
couture,liddell,2003,lhw
ortiz,shamrock,2002,lhw
ortiz,matyuschenko,2001,lhw
ortiz,sinosic,2001,lhw
ortiz,tanner,2001,lhw
ortiz,kondo,2000,lhw
ortiz,silva,2000,lhw
shamrock,ortiz,1999,lhw
shamrock,lober,1998,lhw
shamrock,horn,1998,lhw
shamrock,zinoviev,1998,lhw
shamrock,jackson,1997,lhw
du plessis,strickland,2025,mw
du plessis,adesanya,2024,mw
du plessis,strickland,2024,mw
strickland,adesanya,2023,mw
adesanya,pereira,2023,mw
pereira,adesanya,2022,mw
adesanya,cannonier,2022,mw
adesanya,whittaker,2022,mw
adesanya,vettori,2021,mw
adesanya,costa,2020,mw
adesanya,romero,2020,mw
adesanya,whittaker,2019,mw
adesanya,gastelum,2019,mw
st-pierre,bisping,2017,mw
bisping,rockhold,2016,mw
rockhold,weidman,2015,mw
weidman,belfort,2015,mw
weidman,machida,2014,mw
weidman,silva,2013,mw
weidman,silva,2013,mw
silva,sonnen,2012,mw
silva,okami,2011,mw
silva,belfort,2011,mw
silva,sonnen,2010,mw
silva,maia,2010,mw
silva,leites,2009,mw
silva,cote,2008,mw
silva,henderson,2008,mw
silva,franklin,2007,mw
silva,marquardt,2007,mw
silva,franklin,2006,mw
franklin,loiseau,2006,mw
franklin,quarry,2005,mw
franklin,tanner,2005,mw
tanner,terrell,2005,mw
bustamante,menne,2002,mw
menne,castillo,2001,mw
della maddalena,muhammad,2025,ww
muhammad,edwards,2024,ww
edwards,covington,2023,ww
edwards,usman,2023,ww
edwards,usman,2022,ww
usman,covington,2021,ww
usman,masvidal,2021,ww
usman,burns,2021,ww
usman,masvidal,2020,ww
usman,covington,2019,ww
usman,woodley,2019,ww
woodley,till,2018,ww
woodley,maia,2017,ww
woodley,thompson,2017,ww
woodley,thompson,2016,ww
woodley,lawler,2016,ww
lawler,condit,2016,ww
lawler,macdonald,2015,ww
lawler,hendricks,2014,ww
hendricks,lawler,2014,ww
st-pierre,hendricks,2013,ww
st-pierre,diaz,2013,ww
st-pierre,condit,2012,ww
st-pierre,shields,2011,ww
st-pierre,koscheck,2010,ww
st-pierre,hardy,2010,ww
st-pierre,alves,2009,ww
st-pierre,penn,2009,ww
st-pierre,fitch,2008,ww
st-pierre,serra,2008,ww
serra,st-pierre,2007,ww
st-pierre,hughes,2006,ww
hughes,penn,2006,ww
hughes,trigg,2005,ww
hughes,st-pierre,2004,ww
penn,hughes,2004,ww
penn,trigg,2003,ww
penn,sherk,2003,ww
penn,castillo,2002,ww
penn,newton,2002,ww
penn,sakurai,2002,ww
hughes,newton,2001,ww
newton,miletich,2001,ww
miletich,yamamoto,2000,ww
miletich,alessio,2000,ww
miletich,pederneiras,1999,ww
miletich,patino,1999,ww
miletich,burnett,1998,ww
makhachev,moicano,2025,lw
makhachev,poirier,2024,lw
makhachev,volkanovski,2023,lw
makhachev,volkanovski,2023,lw
makhachev,oliveira,2022,lw
oliveira,poirier,2021,lw
oliveira,chandler,2021,lw
nurmagomedov,gaethje,2020,lw
nurmagomedov,poirier,2019,lw
nurmagomedov,mcgregor,2018,lw
nurmagomedov,iaquinta,2018,lw
mcgregor,alvarez,2016,lw
alvarez,dos anjos,2016,lw
dos anjos,cerrone,2015,lw
dos anjos,pettis,2015,lw
pettis,melendez,2014,lw
pettis,henderson,2013,lw
henderson,melendez,2013,lw
henderson,diaz,2012,lw
henderson,edgar,2012,lw
henderson,edgar,2012,lw
edgar,maynard,2011,lw
edgar,maynard,2011,lw
edgar,penn,2010,lw
edgar,penn,2010,lw
penn,sanchez,2009,lw
penn,florian,2009,lw
penn,sherk,2008,lw
penn,stevenson,2008,lw
sherk,franca,2007,lw
sherk,florian,2006,lw
pulver,penn,2002,lw
pulver,hallman,2001,lw
pulver,uno,2001,lw
volkanovski,lopes,2025,fw
topuria,holloway,2024,fw
topuria,volkanovski,2024,fw
volkanovski,rodriguez,2023,fw
volkanovski,holloway,2022,fw
volkanovski,chan-sung,2022,fw
volkanovski,ortega,2021,fw
volkanovski,holloway,2020,fw
volkanovski,holloway,2019,fw
holloway,edgar,2019,fw
holloway,ortega,2018,fw
holloway,aldo,2017,fw
mcgregor,aldo,2015,fw
aldo,mendes,2014,fw
aldo,lamas,2014,fw
aldo,chan-sung,2013,fw
aldo,edgar,2013,fw
aldo,mendes,2012,fw
aldo,florian,2011,fw
aldo,hominick,2011,fw
aldo,gamburyan,2010,fw
aldo,faber,2010,fw
dvalishvili,omalley,2025,bw
dvalishvili,nurmagomedov,2025,bw
dvalishvili,omalley,2024,bw
omalley,vera,2024,bw
omalley,sterling,2023,bw
sterling,cejudo,2023,bw
sterling,dillashaw,2022,bw
sterling,yan,2022,bw
sterling,yan,2021,bw
yan,aldo,2020,bw
cejudo,cruz,2020,bw
cejudo,moraes,2019,bw
dillashaw,garbrandt,2018,bw
dillashaw,garbrandt,2017,bw
garbrandt,cruz,2016,bw
cruz,faber,2016,bw
cruz,dillashaw,2016,bw
dillashaw,barao,2015,bw
dillashaw,soto,2014,bw
dillashaw,barao,2014,bw
barao,faber,2014,bw
cruz,johnson,2011,bw
cruz,faber,2011,bw
cruz,jorgensen,2010,bw
pantoja,asakura,2024,flw
pantoja,erceg,2024,flw
pantoja,royval,2023,flw
pantoja,moreno,2023,flw
moreno,figueiredo,2023,flw
figueiredo,moreno,2022,flw
moreno,figueiredo,2021,flw
figueiredo,moreno,2020,flw
figueiredo,perez,2020,flw
figueiredo,benavidez,2020,flw
cejudo,dillashaw,2019,flw
cejudo,johnson,2018,flw
johnson,borg,2017,flw
johnson,reis,2017,flw
johnson,elliott,2016,flw
johnson,cejudo,2016,flw
johnson,dodson,2015,flw
johnson,horiguchi,2015,flw
johnson,cariazo,2014,flw
johnson,bagautinov,2014,flw
johnson,benavidez,2013,flw
johnson,moraga,2013,flw
johnson,dodson,2013,flw
johnson,benavidez,2012,flw
harrison,pena,2025,wbw
pena,pennington,2024,wbw
pennington,bueno silva,2024,wbw
nunes,aldana,2023,wbw
nunes,pena,2022,wbw
pena,nunes,2021,wbw
nunes,de randamie,2019,wbw
nunes,holm,2019,wbw
nunes,pennington,2018,wbw
nunes,shevchenko,2017,wbw
nunes,rousey,2016,wbw
nunes,tate,2016,wbw
tate,holm,2016,wbw
holm,rousey,2015,wbw
rousey,correia,2015,wbw
rousey,zingano,2015,wbw
rousey,davis,2014,wbw
rousey,mcmann,2014,wbw
rousey,tate,2013,wbw
rousey,carmouche,2013,wbw
shevchenko,fiorot,2025,wflw
shevchenko,grasso,2024,wflw
grasso,shevchenko,2023,wflw
grasso,shevchenko,2023,wflw
shevchenko,santos,2022,wflw
shevchenko,murphy,2021,wflw
shevchenko,andrade,2021,wflw
shevchenko,maia,2020,wflw
shevchenko,chookagian,2020,wflw
shevchenko,carmouche,2019,wflw
shevchenko,eye,2019,wflw
