year,bw,flw,fw,hw,lhw,lw,mw,wbw,wflw,wsw,ww,sum,avg
1997,,,,4.0,1.0,,,,,,,5.0,2.5
1998,,,,0.0,3.0,,,,,,1.0,4.0,1.3
1999,,,,2.0,1.0,,,,,,2.0,5.0,1.7
2000,,,,2.0,2.0,,,,,,2.0,6.0,2.0
2001,,,,2.0,3.0,2.0,1.0,,,,2.0,10.0,2.0
2002,,,,2.0,1.0,1.0,1.0,,,,3.0,8.0,1.6
2003,,,,2.0,2.0,0.0,0.0,,,,2.0,6.0,1.2
2004,,,,1.0,2.0,0.0,0.0,,,,2.0,5.0,1.0
2005,,,,3.0,2.0,0.0,3.0,,,,1.0,9.0,1.8
2006,,,,3.0,3.0,1.0,2.0,,,,2.0,11.0,2.2
2007,,,,2.0,2.0,1.0,2.0,,,,1.0,8.0,1.6
2008,,,,0.0,2.0,2.0,2.0,,,,2.0,8.0,1.6
2009,,,,1.0,2.0,2.0,1.0,,,,2.0,8.0,1.6
2010,1.0,,2.0,2.0,1.0,2.0,2.0,,,,2.0,12.0,1.7
2011,2.0,,2.0,1.0,3.0,2.0,2.0,,,,1.0,13.0,1.9
2012,0.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,1.0,11.0,1.4
2013,0.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,16.0,1.8
2014,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,16.0,1.6
2015,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,,3.0,1.0,19.0,1.9
2016,3.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,,2.0,3.0,19.0,1.9
2017,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,14.0,1.3
2018,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,14.0,1.3
2019,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,17.0,1.5
2020,2.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,17.0,1.5
2021,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,18.0,1.6
2022,2.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,15.0,1.4
2023,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,20.0,1.8
2024,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,18.0,1.6
2025,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.9
